Standard.Reference,StandardChapter.Reference,StandardContent.Reference,QuestionGroup.IDs,Characteristic.IDs
GGAP_CB,CB 6,CB 6.1,6,10
GGAP_CB,CB 6,CB 6.1,6,41
GGAP_CB,CB 6,CB 6.2,6,10
GGAP_CB,CB 6,CB 6.2,6,41
GGAP_CB,CB 6,CB 6.3,6,10
GGAP_CB,CB 6,CB 6.3,6,41
GGAP_CB,CB 6,CB 6.4,6,10
GGAP_CB,CB 6,CB 6.4,6,41
GGAP_CB,CB 6,CB 6.5,6,10
GGAP_CB,CB 7.1.,CB 7.1.1 ,3,27
GGAP_CB,CB 7.1,CB 7.1.2,6,27
GGAP_CB,CB 7.1,CB 7.1.3,6,27
GGAP_CB,CB 7.1,CB 7.1.4,3,27
GGAP_CB,CB 7.2,CB 7.2.1,6,10
GGAP_CB,CB 7.2,CB 7.2.1,6,27
GGAP_CB,CB 7.3,CB 7.3.1,3,27
GGAP_CB,CB 7.3,CB 7.3.2,3,27
GGAP_CB,CB 7.3,CB 7.3.2,3,10
GGAP_CB,CB 7.3,CB 7.3.3,3,27
GGAP_CB,CB 7.3,CB 7.3.3,3,10
GGAP_CB,CB 7.3,CB 7.3.4,3,27
GGAP_CB,CB 7.3,CB 7.3.4,3,10
GGAP_CB,CB 7.3,CB 7.3.5,3,27
GGAP_CB,CB 7.3,CB 7.3.5,3,10
GGAP_CB,CB 7.3,CB 7.3.6,3,27
GGAP_CB,CB 7.3,CB 7.3.6,3,10
GGAP_CB,CB 7.3,CB 7.3.7,3,10
GGAP_CB,CB 7.3,CB 7.3.8,6,25
GGAP_CB,CB 7.3,CB 7.3.8,6,27
GGAP_CB,CB 7.3,CB 7.3.9,6,25
GGAP_CB,CB 7.3,CB 7.3.9,6,27
GGAP_CB,CB 7.4,CB 7.4.1,6,27
GGAP_CB,CB 7.5,CB 7.5.1,6,35
GGAP_CB,CB 7.5,CB 7.5.1,6,27
GGAP_CB,CB 7.6,CB 7.6.1,3,27
GGAP_CB,CB 7.6,CB 7.6.2,6,27
GGAP_CB,CB 7.6,CB 7.6.3,12,27
GGAP_CB,CB 7.6,CB 7.6.4,3,27
GGAP_CB,CB 7.6,CB 7.6.5,6,27
GGAP_CB,CB 7.6,CB 7.6.6,6,27
GGAP_CB,CB 7.6,CB 7.6.7,4,27
GGAP_CB,CB 7.7,CB 7.7.1,6,35
GGAP_CB,CB 7.7.,CB 7.7.10,6,35
GGAP_CB,CB 7.7.,CB 7.7.11,6,35
GGAP_CB,CB 7.7.,CB 7.7.12,6,35
GGAP_CB,CB 7.7.,CB 7.7.13,6,35
GGAP_CB,CB 7.7.,CB 7.7.14,6,25
GGAP_CB,CB 7.7.,CB 7.7.15,6,25
GGAP_CB,CB 7.7,CB 7.7.2,6,35
GGAP_CB,CB 7.7,CB 7.7.3,6,35
GGAP_CB,CB 7.7,CB 7.7.4,6,35
GGAP_CB,CB 7.7,CB 7.7.5,6,35
GGAP_CB,CB 7.7,CB 7.7.6,6,35
GGAP_CB,CB 7.7,CB 7.7.7,6,35
GGAP_CB,CB 7.7,CB 7.7.8,6,35
GGAP_CB,CB 7.7,CB 7.7.9,6,35
GGAP_CB,CB 7.8,CB 7.8.1,6,25
GGAP_CB,CB 7.8,CB 7.8.2,6,25
GGAP_CB,CB 7.8,CB 7.8.3,6,25
GGAP_CB,CB 7.8,CB 7.8.4,6,25
GGAP_CB,CB 7.9,CB 7.9.1,6,25
GGAP_CB,CB 7.9,CB 7.9.2,6,25
GGAP_CB,CB 7.9,CB 7.9.3,6,25
GGAP_CB,CB 7.9,CB 7.9.3,6,35
GGAP_CB,CB 7.9,CB 7.9.4,6,35
GGAP_CB,CB 7.9,CB 7.9.4,6,25
GGAP_CB,CB 7.9,CB 7.9.5,6,35
GGAP_CB,CB 7.9,CB 7.9.5,6,25
GGAP_CB,CB 7.9,CB 7.9.6,6,35
GGAP_CB,CB 7.9,CB 7.9.6,6,25
GGAP_CB,CB 7.10,CB 7.10.1,6,25
GGAP_CB,CB 7.11,CB 7.11.1,3,27
GGAP_CB,CB 8,CB 8.1,6,27
GGAP_CB,CB 8,CB 8.2,6,35
GGAP_CB,CB 8,CB 8.3,6,25
GGAP_CB,CB 8,CB 8.3,6,35
GGAP_CB,CB 8,CB 8.4,6,27
GGAP_TE,TE 1.1,TE 1.1.1,6,17
GGAP_TE,TE 1.1,TE 1.1.2,6,17
GGAP_TE,TE 2.1,TE 2.1.1,6,44
GGAP_TE,TE 2.1,TE 2.1.2,3,30
GGAP_TE,TE 2.1,TE 2.1.3,6,16
GGAP_TE,TE 3.1,TE 3.1.1,6,35
GGAP_TE,TE 3.1,TE 3.1.2,6,25
GGAP_TE,TE 3.1,TE 3.1.3,6,41
GGAP_TE,TE 3.2,TE 3.2.1,#N/A,#N/A
GGAP_TE,TE 3.2,TE 3.2.2,6,35
GGAP_TE,TE 3.2,TE 3.2.3,6,35
GGAP_TE,TE 3.2,TE 3.2.4,#N/A,#N/A
GGAP_TE,TE 4.1,TE 4.1.1,6,9
GGAP_TE,TE 4.1,TE 4.1.1,6,36
GGAP_TE,TE 4.2,TE 4.2.1,6,36
GGAP_TE,TE 4.2,TE 4.2.2,6,27
GGAP_TE,TE 5.1,TE 5.1.1,6,36
GGAP_TE,TE 5.2,TE 5.2.1,6,27
GGAP_TE,TE 5.3,TE 5.3.1,6,27
GGAP_TE,TE 5.3,TE 5.3.2,12,41
GGAP_TE,TE 6.1,TE 6.1.1,6,27
GGAP_TE,TE 6.1,TE 6.1.2,6,27
GGAP_TE,TE 6.1,TE 6.1.3,6,27
GGAP_TE,TE 6.1,TE 6.1.4,6,27
GGAP_TE,TE 6.1,TE 6.1.5,6,27
GGAP_TE,TE 6.2,TE 6.2.1,6,27
GGAP_TE,TE 6.2,TE 6.2.2,4,27
GGAP_TE,TE 6.2,TE 6.2.3,4,27
GGAP_TE,TE 6.2,TE 6.2.4,4,27
GGAP_TE,TE 6.2,TE 6.2.5,6,27
GGAP_TE,TE 6.2,TE 6.2.6,4,27
GGAP_TE,TE 6.3,TE 6.3.1,6,27
GGAP_TE,TE 6.3,TE 6.3.2,6,27
GGAP_TE,TE 6.3,TE 6.3.3,6,27
GGAP_TE,TE 6.3,TE 6.3.4,6,27
